,date,user,source,tweet,location,like_count,retweet_count
34,2022-11-29 18:00:20+00:00,koladeSZN,Twitter for iPhone,"@Pres_Adebayo will be a leader that will raise leaders, he’s just, democratic and committed… he will restore hope again. #HopeAgain2023 https://t.co/64C7C7LFKa",Iyana-Paris,67,61
35,2022-11-29 18:00:06+00:00,BukolaOfGod1,Twitter for Android,"Voters shouldn't look at the face of the people running. They should look at the problem they want to solve. - Prince Adewole Adebayo @Pres_Adebayo 

#HopeAgain2023 https://t.co/S7AXWN0Bap",🌍,121,108
36,2022-11-29 17:59:47+00:00,Temiisback,Twitter for iPhone,"A leader must be just.
-Prince Adewole Adebayo  
@Pres_Adebayo  #HopeAgain2023 https://t.co/4ppwPEakHW","Munich, Bavaria",128,110
37,2022-11-29 17:53:17+00:00,LinguistMarco,Twitter Web App,"QUIZ TIME 29-11-2022 #StandWithUkraine #UkraineWar #hope #HopeAgain2023 #langtwt #LANGUAGE #Languages #LanguageLearning 
@W4UA_Summit https://t.co/9qN3JyuLxy
👉🇮🇹 Grazie molte Iggy @ScooterLabUK https://t.co/JzzYpmAxtb",A tiny corner of England,0,1
38,2022-11-29 17:49:52+00:00,VijestiS,Twitter for Android,"https://t.co/7QEIJcxhI4
@VojinMijatovic @MiloradDodik @Vukan79 #sdp #snsd #BiH",Republika Srpska,0,0
39,2022-11-29 17:30:12+00:00,tr1rns,Holdings RNS's (LSE),"Schroder AsiaPacific Fund (#SDP) 📈 508p
City of London Investment Management #TR1 10.01% (🔼 5.01%) 👀 ~=8.0m #acquired 
29/11 16:27 #RNS Holding(s) in Company
https://t.co/xoXYhy4ld3","London, England",0,0
40,2022-11-29 17:16:21+00:00,supabara,Twitter for iPhone,Enforce merit-based employments and appointments across the institutions to increase job satisfaction and security. @Yusufsbuhari @Pres_Adebayo #HopeAgain2023,Port Harcourt,0,0
41,2022-11-29 17:13:51+00:00,supabara,Twitter for iPhone,"Our country deserves a fresh start, Nigerians are yearning for a new beginning. @Pres_Adebayo of SDP has responded to this clarion call. Our hope for a better Nigeria is here!
#HopeAgain2023 https://t.co/oPKkEs3tsn",Port Harcourt,84,84
42,2022-11-29 17:04:33+00:00,OlgaSativa,Twitter for Android,@yokoono 🌹🌹🌹🌹🌹🌹🌹🌹🌹💕 Feed the poor give the homeless a hone give #HopeAgain2023,,0,0
43,2022-11-29 16:32:20+00:00,Nigsearchlight,Twitter for iPhone,"Contact me to get a suit of your choice, we deliver nationwide😎🎩
Price range: regular suits 35-45k
Turkish suits 65-70k
Chicago University | Tony Elumelu | Mr Mugu | Tems | EFCC | NANS | Aisha Buhari #HopeAgain2023 https://t.co/eFPvBE5B7r","Lagos, Nigeria",1,0
44,2022-11-29 16:02:38+00:00,SipenRD,Twitter for iPhone,"¿Qué ocurre con el saldo acumulado de un afiliado al Sistema Dominicano de Pensiones en caso de que fallezca sin tener beneficiarios?

👆🏽 📌

#SIPEN #SDP #afiliadofallecido https://t.co/EFesDMB1a0","Av. México con Rosa Duarte,SD",3,0
45,2022-11-29 15:44:16+00:00,UKDivine,Twitter for iPhone,"(LIVE) Love of God Retreat (30 November 2022)

DAILY HOLY MASS, HEALING AND DELIVERANCE SERVICES 

https://t.co/xiBc9yFn0n
 
#BreadfortheWorld  #Benediction
#MostBlessedSacrament
 #Evangelization #Jesus #RealPresence #Advent #firstsundayofadvent #HopeAgain2023 https://t.co/yUTvu76IkM","St Augustines Abbey, Ramsgate",6,3
46,2022-11-29 15:37:48+00:00,solarpunklitmag,Twitter Web App,"One week till we launch for 2023! Many of the tiers are limited, so click if you want a launch notification. https://t.co/Zhe8BTIVGN

#Solarpunk #crowdfunding #kickstartercampaign #SolarpunkMagazine #DemandUtopia #scifi #fantasy #ClimateFiction #Hope #HopeAgain2023 #Optimism https://t.co/I6EWRkneRh","Eugene, Oregon",19,10
