,date,user,source,tweet,location,like_count,retweet_count
9173,2022-09-28 09:28:51+00:00,Titiloyetonia,Twitter for Android,"Today is the D day, the campaign start. We start in the name of Almighty God, God see us through and after. Make Nigeria great again 🙏🏾.
The City Boy. #BAT2023 https://t.co/QiDP4VntdI","Lagos, Nigeria",0,0
9174,2022-09-28 09:28:37+00:00,TalksWithGbenga,Twitter Web App,"Be teachable. You’re not always right.

Dear Nigerians Obaseki  Lagosian skuchies Rochas #Obidatti023 Mikel Obi Akeredolu Ogun #NordStream2 vote lp shege Deadpool Ooni of Ife Imo State #BAT2023 Dear Obidients #NSPPD Lipton #japa #AACParty President of Nigeria ASUU and FG https://t.co/mN95T9iyQ5",,5,1
9175,2022-09-28 09:26:30+00:00,Ykolarahman,Twitter for iPhone,Folake Daramole share throwback picture with @officialABAT . #BAT2023 for everyone https://t.co/F9amOdtTDA,"Lagos, Nigeria",2,0
9176,2022-09-28 09:20:16+00:00,Eminikan2,Twitter for Android,"My vote is for Asiwaju Bola Ahmed Tinubu.
Call me tribalist.
Call me bigot.
Call me anything.

Everything you say goes back to you.

#BAT2023 https://t.co/NhgJI8hbW3",,3,2
9177,2022-09-28 09:19:16+00:00,im_eminencies,Twitter for Android,Other supporters explaining the achievements of their candidate Vs Me Explaining the achievements of BAT/SHETTIMA #BAT2023 https://t.co/29QtbbqurW,Nigeria,0,0
9178,2022-09-28 09:19:05+00:00,biolaodetola,Twitter for Android,"@ak_orija O fo ti.

E ma fo!
Eni iwaju oni di ero eyin.
#BAT2023",Nigeria,0,0
9179,2022-09-28 09:15:26+00:00,T051N,Twitter for Android,"Campaign done start ooo!! 🔊🔊🔊🔊🔊
Goodluck to everyone as we try to envision a better Nigeria, dont forget #BATSHET2023 . No other option.  #BAT2023",In your face,2,0
9180,2022-09-28 09:14:31+00:00,ToluVictor_001,Twitter for Android,"The Time Is Now!!!!
@officialABAT 
#BAT2023 https://t.co/98fJcSeC7j","Ibadan, Nigeria",1,0
9181,2022-09-28 09:13:09+00:00,doctrLakes,Twitter Web App,"I'm a Yoruba final year medical student held back(past graduation time) by the lingering #ASUU strike.

As campaign starts today, I hereby categorically state that I do not believe in the Asiwaju Bola Ahmed Tinubu presentation. Actually, the #BAT2023 agenda is offensive https://t.co/yJ9v58fBw4","Anambra, Nigeria",10321,3467
9182,2022-09-28 09:12:23+00:00,joyceanzah,Twitter for Android,"Issue-based campaign 💯

But if you want otherwise, fully loaded to return the madness.
#BAT2023 
#Elections2023",Nigeria 🇳🇬,3,1
9183,2022-09-28 09:11:38+00:00,Temitopeseleem,Twitter for iPhone,It’s campaign time officially . #TinubuShettima2023 #BAT2023 #BAT23 https://t.co/rbEWJHs8jI,Federal Capital Territory,5,1
9184,2022-09-28 09:08:11+00:00,inc_consult,Twitter for Android,Join the moving train. #BAT2023 https://t.co/cOE77Nb7Dj,,0,0
9185,2022-09-28 09:07:43+00:00,ToluVictor_001,Twitter for Android,#BAT2023,"Ibadan, Nigeria",0,0
9186,2022-09-28 09:02:47+00:00,jollylolly27,Twitter for Android,@ade_klement @ARasaqg @Qdpaper2 Really?And he stepped down for Peter Obi the trader?It's Pat Utomi a supposedly acclaimed intellectual that actually needs that medical examination for committing such a blunder. #BAT2023 #CITYBOY2023,Lagos,0,0
9187,2022-09-28 08:58:29+00:00,TeeJayofAfrica,Twitter for Android,"DID YOU KNOW: Asiwaju Bola Ahmed Tinubu @officialABAT as Governor of Lagos State was conferred with a Chieftaincy Title in Abia State, A Detribalized Nigerian that does not care what your tribe or religion is, as far as you can get the job done. 

#BAT2023 #AsiwajuBolaAhmedTinubu https://t.co/07IpqYWGAp",,0,0
9188,2022-09-28 08:52:05+00:00,HonSegunOlulade,Twitter for Android,"Good morning Nigerians, campaign starts today,  Join the Charriot to the villa, @officialABAT is our Candidate and @OfficialAPCNg is the party. Victory is assured.
#BAT2023
#TinubuShettima2023
#ELENIYAN 
Be Inspired, Be involved,  God is Involved https://t.co/hPF6JO9zAh","Lagos, Nigeria",257,71
9189,2022-09-28 08:50:32+00:00,obasanjof,Twitter for iPhone,#BAT2023,,0,0
9190,2022-09-28 08:49:47+00:00,annnikkym,Twitter for Android,"Peter Obi raise the bar too much for this 2023 election, nobody is frying akara or eating yellow rice with IDP camp anymore. PO u do this, OK na

Obaseki #Obidatti2023 #OBIdientlyYUSful Obiano Imo State ASUU and FG ondo president of Nigeria #AtikuOkowa2023 #BAT2023 Rochas owerri https://t.co/MTWrsNKX8p",,49,24
9191,2022-09-28 08:49:24+00:00,biolaodetola,Twitter for Android,"My cup of coffee till June 12, 2023.

#BATSHET2023 
#BAT2023 
#Elections2023
#Asiwaju https://t.co/E0MVseC47n",Nigeria,4,0
9192,2022-09-28 08:47:52+00:00,HealthRytTravel,Twitter for Android,"𝗗𝗼 𝘆𝗼𝘂 𝗸𝗻𝗼𝘄?🤔

You don't need anything O'level when going for a postgraduate program like PGC, PGD, master's, or even advanced diploma in Canada🇨🇦 

Ondo #BAT2023 ASUU and FG Mikel Obi Where is Liz Truss Obaseki #JoySMS Nicaragua #Blackstars",Worldwide🌍,1,1
9193,2022-09-28 08:47:17+00:00,ClothedOne,Twitter for Android,"Nigeria on the march again 
Looking for our President..

Asiwaju Tinubu is our Man o

BAT is our incoming President
Insha Allah 

#BAT2023 
#BATSHET2023 
#batified https://t.co/DS2abUF5BF", Islam * Odùduwà boy ,0,0
9194,2022-09-28 08:44:16+00:00,AdeOnafowokan,Twitter for Android,"It is time, let the games begin 💯💯💯 #BAT2023 https://t.co/B8xKF76unz","Lagos, Nigeria",6,2
9195,2022-09-28 08:41:26+00:00,Melebroz1,Twitter for Android,"Delivery good governance through infrastructural developments isn't about one political party, it's all about that Governor. Why are you repackaging rubbish into leadership.

Show us your antecedents
in infrastructural developments

Vote #BAT2023","Abuja, Nigeria",33,17
9196,2022-09-28 08:41:26+00:00,Aderiade,Twitter for Android,"Ladies and Gentlemen of the progressive, #BAT2023 go too pepper dem. Wu lo, te bo 😂 K1 is the real GOAT of fuji music https://t.co/F4Z4NPDRci",Nigeria,1,0
9197,2022-09-28 08:40:33+00:00,BryteDude,Twitter for Android,"#UnityGatheringForBAT is happening... 

#BAT2023
#BATKSM2023 https://t.co/PTfhB0urVx",Federal Capital Territory,26,9
9198,2022-09-28 08:39:35+00:00,babBat77,Twitter for iPhone,That genuine loving look when ur boss is always making sense. I dey trip for these two #BAT2023 https://t.co/prw4k0cG2o,"Ajah, Lagos",0,0
9199,2022-09-28 08:37:45+00:00,DamiMarshal,Twitter for iPhone,"Campaign for your candidate without insulting others, if you abuse me i’ll abuse you back. Nobody has monopoly of madness #BATSHET2023 ♾♾ #BAT2023","Lagos, Nigeria",239,97
9200,2022-09-28 08:33:19+00:00,lekan_oloye,Twitter for Android,#BAT2023 https://t.co/EymrKF97K3,"Lagos, Nigeria",1,0
